time,open,high,low,close
2025-08-26 18:45:00-03:00,148.73785,148.79985,148.71685,148.78015
2025-08-26 18:50:00-03:00,148.77965,148.78175,148.74885,148.74885
2025-08-26 18:55:00-03:00,148.75595,148.80085,148.74935,148.80085
2025-08-26 19:00:00-03:00,148.80115,148.84405,148.79375,148.83695
2025-08-26 19:05:00-03:00,148.83685,148.85165,148.81475,148.85165
2025-08-26 19:10:00-03:00,148.84745,148.84815,148.79555,148.80545
2025-08-26 19:15:00-03:00,148.80865,148.81525,148.73585,148.73795
2025-08-26 19:20:00-03:00,148.73895,148.77925,148.72375,148.75775
2025-08-26 19:25:00-03:00,148.75565,148.79165,148.75195,148.78825
2025-08-26 19:30:00-03:00,148.78915,148.81305,148.78275,148.79925
2025-08-26 19:35:00-03:00,148.80035,148.85895,148.79215,148.84475
2025-08-26 19:40:00-03:00,148.84475,148.85635,148.81135,148.83745
2025-08-26 19:45:00-03:00,148.83705,148.85365,148.81545,148.84655
2025-08-26 19:50:00-03:00,148.84605,148.85845,148.82105,148.85505
2025-08-26 19:55:00-03:00,148.85145,148.88995,148.83945,148.87125
2025-08-26 20:00:00-03:00,148.87045,148.91555,148.86045,148.86095
2025-08-26 20:05:00-03:00,148.86165,148.86615,148.83175,148.83905
2025-08-26 20:10:00-03:00,148.83955,148.85465,148.82545,148.84715
2025-08-26 20:15:00-03:00,148.84645,148.84645,148.78525,148.80085
2025-08-26 20:20:00-03:00,148.80125,148.82955,148.79935,148.81675
2025-08-26 20:25:00-03:00,148.81715,148.81865,148.79455,148.80275
2025-08-26 20:30:00-03:00,148.80255,148.81185,148.76795,148.76795
2025-08-26 20:35:00-03:00,148.76695,148.78325,148.74425,148.74645
2025-08-26 20:40:00-03:00,148.74495,148.76915,148.73055,148.75775
2025-08-26 20:45:00-03:00,148.75665,148.80575,148.73655,148.78035
2025-08-26 20:50:00-03:00,148.78005,148.84065,148.77465,148.81845
2025-08-26 20:55:00-03:00,148.81915,148.83495,148.77255,148.78495
2025-08-26 21:00:00-03:00,148.78495,148.82005,148.78155,148.81835
2025-08-26 21:05:00-03:00,148.81905,148.85515,148.81905,148.83425
2025-08-26 21:10:00-03:00,148.83415,148.84605,148.82095,148.84605
2025-08-26 21:15:00-03:00,148.84615,148.86055,148.81615,148.83775
2025-08-26 21:20:00-03:00,148.83755,148.85415,148.82745,148.85415
2025-08-26 21:25:00-03:00,148.85375,148.86775,148.81765,148.86735
2025-08-26 21:30:00-03:00,148.87195,148.87665,148.81125,148.82355
2025-08-26 21:35:00-03:00,148.81905,148.81905,148.78415,148.81715
2025-08-26 21:40:00-03:00,148.81725,148.85185,148.81155,148.83575
2025-08-26 21:45:00-03:00,148.83625,148.91025,148.83375,148.90115
2025-08-26 21:50:00-03:00,148.89935,148.98475,148.88955,148.96385
2025-08-26 21:55:00-03:00,148.96395,148.98765,148.95165,148.96215
2025-08-26 22:00:00-03:00,148.96215,148.97955,148.94895,148.96185
2025-08-26 22:05:00-03:00,148.96205,148.97085,148.94205,148.97015
2025-08-26 22:10:00-03:00,148.96965,148.97425,148.89685,148.89685
2025-08-26 22:15:00-03:00,148.89465,148.92245,148.89465,148.91565
2025-08-26 22:20:00-03:00,148.91695,148.93505,148.89995,148.90215
2025-08-26 22:25:00-03:00,148.90235,148.91295,148.87585,148.90085
2025-08-26 22:30:00-03:00,148.90115,148.90345,148.83185,148.85115
2025-08-26 22:35:00-03:00,148.85145,148.87135,148.83135,148.86905
2025-08-26 22:40:00-03:00,148.86925,148.90735,148.86835,148.88985
2025-08-26 22:45:00-03:00,148.89005,148.93705,148.88885,148.92755
2025-08-26 22:50:00-03:00,148.92785,148.92955,148.90575,148.91155
