time,close,RSI
2025-08-26 18:45:00-03:00,148.78015,
2025-08-26 18:50:00-03:00,148.74885,
2025-08-26 18:55:00-03:00,148.80085,
2025-08-26 19:00:00-03:00,148.83695,
2025-08-26 19:05:00-03:00,148.85165,
2025-08-26 19:10:00-03:00,148.80545,
2025-08-26 19:15:00-03:00,148.73795,
2025-08-26 19:20:00-03:00,148.75775,
2025-08-26 19:25:00-03:00,148.78825,
2025-08-26 19:30:00-03:00,148.79925,
2025-08-26 19:35:00-03:00,148.84475,
2025-08-26 19:40:00-03:00,148.83745,
2025-08-26 19:45:00-03:00,148.84655,
2025-08-26 19:50:00-03:00,148.85505,
2025-08-26 19:55:00-03:00,148.87125,38.90323036682157
2025-08-26 20:00:00-03:00,148.86095,37.80860744553785
2025-08-26 20:05:00-03:00,148.83905,35.52013813525939
2025-08-26 20:10:00-03:00,148.84715,37.03808963282094
2025-08-26 20:15:00-03:00,148.80085,32.35006759557642
2025-08-26 20:20:00-03:00,148.81675,35.37517808957193
2025-08-26 20:25:00-03:00,148.80275,33.93620477013148
2025-08-26 20:30:00-03:00,148.76795,30.603747368726403
2025-08-26 20:35:00-03:00,148.74645,28.726879550895802
2025-08-26 20:40:00-03:00,148.75775,31.117936367345493
2025-08-26 20:45:00-03:00,148.78035,35.75973329787951
2025-08-26 20:50:00-03:00,148.81845,42.762388023169805
2025-08-26 20:55:00-03:00,148.78495,38.76146600125351
2025-08-26 21:00:00-03:00,148.81835,44.35177479861319
2025-08-26 21:05:00-03:00,148.83425,46.83968061262134
2025-08-26 21:10:00-03:00,148.84605,48.673651967174266
2025-08-26 21:15:00-03:00,148.83775,47.43406756516832
2025-08-26 21:20:00-03:00,148.85415,50.13626699403097
2025-08-26 21:25:00-03:00,148.86735,52.26332792683317
2025-08-26 21:30:00-03:00,148.82355,45.35041245509593
2025-08-26 21:35:00-03:00,148.81715,44.425736907255185
2025-08-26 21:40:00-03:00,148.83575,47.75948828362424
2025-08-26 21:45:00-03:00,148.90115,57.429331866681984
2025-08-26 21:50:00-03:00,148.96385,64.25970772333437
2025-08-26 21:55:00-03:00,148.96215,63.9600613185148
2025-08-26 22:00:00-03:00,148.96185,63.90343067245749
2025-08-26 22:05:00-03:00,148.97015,64.83120354928145
2025-08-26 22:10:00-03:00,148.89685,52.09635821567104
2025-08-26 22:15:00-03:00,148.91565,54.561662775932945
2025-08-26 22:20:00-03:00,148.90215,52.4733227319623
2025-08-26 22:25:00-03:00,148.90085,52.26586671143606
2025-08-26 22:30:00-03:00,148.85115,44.949288508904566
2025-08-26 22:35:00-03:00,148.86905,47.78440816355624
2025-08-26 22:40:00-03:00,148.88985,50.9458089843716
2025-08-26 22:45:00-03:00,148.92755,56.130306339126996
2025-08-26 22:50:00-03:00,148.91625,54.278563551433244
