time,open,high,low,close
2025-08-26 18:45:00-03:00,1.152935,1.154565,1.151205,1.154435
2025-08-26 18:50:00-03:00,1.154495,1.154755,1.151765,1.153115
2025-08-26 18:55:00-03:00,1.153035,1.153405,1.151215,1.153265
2025-08-26 19:00:00-03:00,1.153325,1.155725,1.152785,1.154935
2025-08-26 19:05:00-03:00,1.154935,1.157595,1.154495,1.155725
2025-08-26 19:10:00-03:00,1.155855,1.157735,1.155455,1.157735
2025-08-26 19:15:00-03:00,1.157995,1.159405,1.156655,1.156665
2025-08-26 19:20:00-03:00,1.156665,1.159955,1.156665,1.158755
2025-08-26 19:25:00-03:00,1.158755,1.160055,1.156905,1.157275
2025-08-26 19:30:00-03:00,1.157285,1.158185,1.155815,1.156405
2025-08-26 19:35:00-03:00,1.156435,1.156995,1.154445,1.154565
2025-08-26 19:40:00-03:00,1.154415,1.154615,1.149475,1.150655
2025-08-26 19:45:00-03:00,1.150455,1.150585,1.147915,1.148705
2025-08-26 19:50:00-03:00,1.148345,1.150245,1.148185,1.149055
2025-08-26 19:55:00-03:00,1.149055,1.150805,1.147545,1.150385
2025-08-26 20:00:00-03:00,1.150385,1.151305,1.148795,1.151095
2025-08-26 20:05:00-03:00,1.151045,1.152345,1.150265,1.151565
2025-08-26 20:10:00-03:00,1.151605,1.154095,1.151045,1.153775
2025-08-26 20:15:00-03:00,1.153815,1.155905,1.153125,1.155295
2025-08-26 20:20:00-03:00,1.155295,1.156375,1.154285,1.156245
2025-08-26 20:25:00-03:00,1.156395,1.159975,1.155235,1.159975
2025-08-26 20:30:00-03:00,1.160095,1.161775,1.159765,1.160945
2025-08-26 20:35:00-03:00,1.161025,1.161025,1.157585,1.158435
2025-08-26 20:40:00-03:00,1.158345,1.158695,1.153825,1.154065
2025-08-26 20:45:00-03:00,1.154185,1.155525,1.152855,1.153165
2025-08-26 20:50:00-03:00,1.153165,1.154145,1.150235,1.150235
2025-08-26 20:55:00-03:00,1.150235,1.153515,1.150085,1.153015
2025-08-26 21:00:00-03:00,1.153015,1.153875,1.151075,1.152925
2025-08-26 21:05:00-03:00,1.152925,1.155005,1.152925,1.154015
2025-08-26 21:10:00-03:00,1.153915,1.154585,1.152345,1.153115
2025-08-26 21:15:00-03:00,1.153115,1.155585,1.152945,1.153445
2025-08-26 21:20:00-03:00,1.153445,1.154105,1.151785,1.153715
2025-08-26 21:25:00-03:00,1.153885,1.154595,1.152935,1.153725
2025-08-26 21:30:00-03:00,1.153915,1.155635,1.153475,1.154225
2025-08-26 21:35:00-03:00,1.154435,1.154855,1.151975,1.152265
2025-08-26 21:40:00-03:00,1.152425,1.152865,1.150905,1.151245
2025-08-26 21:45:00-03:00,1.151215,1.156155,1.150675,1.155415
2025-08-26 21:50:00-03:00,1.155545,1.155665,1.151395,1.151415
2025-08-26 21:55:00-03:00,1.151415,1.152905,1.151225,1.152765
2025-08-26 22:00:00-03:00,1.152765,1.153915,1.151515,1.152435
2025-08-26 22:05:00-03:00,1.152485,1.155765,1.152485,1.154905
2025-08-26 22:10:00-03:00,1.154665,1.155795,1.153565,1.155085
2025-08-26 22:15:00-03:00,1.155095,1.159545,1.155095,1.158275
2025-08-26 22:20:00-03:00,1.158285,1.159895,1.157915,1.158955
2025-08-26 22:25:00-03:00,1.158915,1.161065,1.158395,1.158485
2025-08-26 22:30:00-03:00,1.158395,1.159305,1.156145,1.158945
2025-08-26 22:35:00-03:00,1.158955,1.160235,1.157505,1.158145
2025-08-26 22:40:00-03:00,1.158115,1.161265,1.157595,1.161265
2025-08-26 22:45:00-03:00,1.161465,1.162405,1.159035,1.159685
2025-08-26 22:50:00-03:00,1.159625,1.160575,1.158995,1.160145
