time,open,high,low,close,BB_MID,BB_UPPER,BB_LOWER
2025-08-26 18:45:00-03:00,1.152935,1.154565,1.151205,1.154435,,,
2025-08-26 18:50:00-03:00,1.154495,1.154755,1.151765,1.153115,,,
2025-08-26 18:55:00-03:00,1.153035,1.153405,1.151215,1.153265,,,
2025-08-26 19:00:00-03:00,1.153325,1.155725,1.152785,1.154935,,,
2025-08-26 19:05:00-03:00,1.154935,1.157595,1.154495,1.155725,,,
2025-08-26 19:10:00-03:00,1.155855,1.157735,1.155455,1.157735,,,
2025-08-26 19:15:00-03:00,1.157995,1.159405,1.156655,1.156665,,,
2025-08-26 19:20:00-03:00,1.156665,1.159955,1.156665,1.158755,,,
2025-08-26 19:25:00-03:00,1.158755,1.160055,1.156905,1.157275,,,
2025-08-26 19:30:00-03:00,1.157285,1.158185,1.155815,1.156405,,,
2025-08-26 19:35:00-03:00,1.156435,1.156995,1.154445,1.154565,,,
2025-08-26 19:40:00-03:00,1.154415,1.154615,1.149475,1.150655,,,
2025-08-26 19:45:00-03:00,1.150455,1.150585,1.147915,1.148705,,,
2025-08-26 19:50:00-03:00,1.148345,1.150245,1.148185,1.149055,,,
2025-08-26 19:55:00-03:00,1.149055,1.150805,1.147545,1.150385,,,
2025-08-26 20:00:00-03:00,1.150385,1.151305,1.148795,1.151095,,,
2025-08-26 20:05:00-03:00,1.151045,1.152345,1.150265,1.151565,,,
2025-08-26 20:10:00-03:00,1.151605,1.154095,1.151045,1.153775,,,
2025-08-26 20:15:00-03:00,1.153815,1.155905,1.153125,1.155295,,,
2025-08-26 20:20:00-03:00,1.155295,1.156375,1.154285,1.156245,1.1539825000000001,1.1597049291170798,1.1482600708829205
2025-08-26 20:25:00-03:00,1.156395,1.159975,1.155235,1.159975,1.1542595,1.1605507907260753,1.1479682092739247
2025-08-26 20:30:00-03:00,1.160095,1.161775,1.159765,1.160945,1.1546509999999999,1.1615534963600134,1.1477485036399864
2025-08-26 20:35:00-03:00,1.161025,1.161025,1.157585,1.158435,1.1549095,1.1619704276302765,1.1478485723697236
2025-08-26 20:40:00-03:00,1.158345,1.158695,1.153825,1.154065,1.154866,1.1619364763630182,1.1477955236369817
2025-08-26 20:45:00-03:00,1.154185,1.155525,1.152855,1.153165,1.154738,1.1618342809978186,1.1476417190021815
2025-08-26 20:50:00-03:00,1.153165,1.154145,1.150235,1.150235,1.1543629999999998,1.16157782529241,1.1471481747075896
2025-08-26 20:55:00-03:00,1.150235,1.153515,1.150085,1.153015,1.1541804999999998,1.1613375985042822,1.1470234014957175
2025-08-26 21:00:00-03:00,1.153015,1.153875,1.151075,1.152925,1.153889,1.1607456913303722,1.1470323086696277
2025-08-26 21:05:00-03:00,1.152925,1.155005,1.152925,1.154015,1.153726,1.160405679333621,1.147046320666379
2025-08-26 21:10:00-03:00,1.153915,1.154585,1.152345,1.153115,1.1535615,1.1601302998142737,1.146992700185726
2025-08-26 21:15:00-03:00,1.153115,1.155585,1.152945,1.153445,1.1535055,1.1600582016565693,1.146952798343431
2025-08-26 21:20:00-03:00,1.153445,1.154105,1.151785,1.153715,1.1536585,1.1600794011049853,1.1472375988950145
2025-08-26 21:25:00-03:00,1.153885,1.154595,1.152935,1.153725,1.1539095,1.1599152821305807,1.1479037178694191
2025-08-26 21:30:00-03:00,1.153915,1.155635,1.153475,1.154225,1.1541679999999999,1.1597455266920025,1.1485904733079972
2025-08-26 21:35:00-03:00,1.154435,1.154855,1.151975,1.152265,1.154262,1.1596411750296862,1.1488828249703136
2025-08-26 21:40:00-03:00,1.152425,1.152865,1.150905,1.151245,1.1542695,1.159631382038986,1.148907617961014
2025-08-26 21:45:00-03:00,1.151215,1.156155,1.150675,1.155415,1.154462,1.1596966082948013,1.149227391705199
2025-08-26 21:50:00-03:00,1.155545,1.155665,1.151395,1.151415,1.154344,1.1597391715450023,1.1489488284549978
2025-08-26 21:55:00-03:00,1.151415,1.152905,1.151225,1.152765,1.1542175000000001,1.1596361377439355,1.1487988622560648
2025-08-26 22:00:00-03:00,1.152765,1.153915,1.151515,1.152435,1.154027,1.1594149294724412,1.1486390705275586
2025-08-26 22:05:00-03:00,1.152485,1.155765,1.152485,1.154905,1.1537735,1.1584480236120915,1.1490989763879085
2025-08-26 22:10:00-03:00,1.154665,1.155795,1.153565,1.155085,1.1534805000000001,1.1568813379849683,1.150079662015032
2025-08-26 22:15:00-03:00,1.155095,1.159545,1.155095,1.158275,1.1534725,1.156827119948668,1.1501178800513319
2025-08-26 22:20:00-03:00,1.158285,1.159895,1.157915,1.158955,1.153717,1.1578347304428536,1.1495992695571466
2025-08-26 22:25:00-03:00,1.158915,1.161065,1.158395,1.158485,1.153983,1.1585828373884304,1.1493831626115696
2025-08-26 22:30:00-03:00,1.158395,1.159305,1.156145,1.158945,1.1544185,1.1591634605899312,1.1496735394100688
2025-08-26 22:35:00-03:00,1.158955,1.160235,1.157505,1.158145,1.1546750000000001,1.1596383537049058,1.1497116462950945
2025-08-26 22:40:00-03:00,1.158115,1.161265,1.157595,1.161265,1.1550920000000002,1.1607499540471804,1.14943404595282
2025-08-26 22:45:00-03:00,1.161465,1.162405,1.159035,1.159685,1.1553755,1.1613486146816383,1.149402385318362
2025-08-26 22:50:00-03:00,1.159625,1.160575,1.158995,1.160145,1.1557270000000002,1.1619488601720067,1.1495051398279936
