Ticker;Capital;Porcentagens;Contagem_total;Contagem_acerto;Contagem_erro;Intervalo;Tamanho_take;hora
AMAR3.SA;996.23;23.08;13;3;10;1d;3;2025-10-07 21:12:39
AMAR3.SA;995.2;16.67;12;2;10;1d;4;2025-10-07 21:12:40
AMBP3.SA;1002.44;36.96;46;17;29;15m;2;2025-10-07 21:12:40
AMBP3.SA;1002.68;25.58;43;11;32;15m;2.5;2025-10-07 21:12:41
AMBP3.SA;1003.67;21.95;41;9;32;15m;3;2025-10-07 21:12:41
AMBP3.SA;1005.87;20.0;35;7;28;15m;4;2025-10-07 21:12:41
AMBP3.SA;1001.38;32.7;159;52;107;1h;2;2025-10-07 21:12:42
AMBP3.SA;1000.42;26.8;153;41;112;1h;2.5;2025-10-07 21:12:43
AMBP3.SA;997.98;21.71;152;33;119;1h;3;2025-10-07 21:12:44
AMBP3.SA;993.48;18.24;148;27;121;1h;4;2025-10-07 21:12:45
AMBP3.SA;1017.33;38.1;21;8;13;1d;2;2025-10-07 21:12:46
AMBP3.SA;1018.7;26.32;19;5;14;1d;2.5;2025-10-07 21:12:46
AMBP3.SA;1025.59;23.81;21;5;16;1d;3;2025-10-07 21:12:46
AMBP3.SA;1009.15;21.05;19;4;15;1d;4;2025-10-07 21:12:46
